"","x"
"468",0
"469",6
"470",6
"471",0
"472",6
"473",2
"474",5
"475",3
"476",2
"477",4
"478",4
"479",4
"480",-1
"481",4
"482",-1
"483",2
"484",7
"485",-2
"486",3
"487",4
"488",0
"489",6
"490",2
"491",-1
"492",13
"493",9
"494",5
"495",5
"496",4
"497",1
"498",5
"499",7
"500",-3
"501",2
"502",7
"503",3
"504",3
"505",8
"506",9
"507",9
"508",5
"509",10
"510",4
"511",1
"512",1
"513",6
"514",0
"515",3
"516",6
"517",2
"518",7
"519",1
"520",11
"521",1
"522",3
"523",6
"524",4
"525",9
"526",3
"527",10
"528",13
"529",12
"530",10
"531",3
"532",6
"533",2
"534",11
"535",-1
"536",5
"537",5
"538",2
"539",-2
"540",-1
"541",3
"542",5
"543",0
"544",5
"545",7
"546",1
"547",12
"548",-1
"549",4
"550",21
"551",-5
"552",8
"553",6
"554",14
"555",12
"556",3
"557",7
"558",3
"559",5
"560",-7
"561",-3
"562",-10
"563",4
"564",11
"565",5
"566",12
"567",4
"568",-4
"569",14
"570",19
"571",9
"572",-2
"573",11
"574",2
"575",17
"576",3
"577",-1
"578",9
"579",0
"580",7
"581",0
"582",5
"583",5
"584",6
"585",3
"586",10
"587",4
"588",2
"589",6
"590",3
"591",3
"592",-1
"593",7
"594",0
"595",3
"596",6
"597",3
"598",8
"599",6
"600",9
